response,model_id,model_label,status,nobs,AIC,BIC,logLik,converged,pdHess,warning_message,delta_AIC,uses_depth,depth_mode,random_mode,fixed_mode
dai,Y_year_only_D0_Ra,year + offset + (1|area),completed,1016,8599.2611216520545,8633.726522049023,-4292.630560826027,TRUE,TRUE,,119.4669650249889,FALSE,none,area,year_only
dai,YM_year_month_Dc_R0,year + month + depth_cat + offset,completed,1016,8631.98558917485,8725.53453310948,-4296.992794587425,TRUE,TRUE,,152.19143254778464,TRUE,cat,none,year_month
dai,YM_year_month_D2_R0,year + month + depth_quad + offset,completed,1016,8633.597836513378,8727.146780448007,-4297.798918256689,TRUE,TRUE,,153.80367988631224,TRUE,quad,none,year_month
dai,YM_year_month_D0_R0,year + month + offset,completed,1016,8633.681562262844,8717.383248941196,-4299.840781131422,TRUE,TRUE,,153.88740563577812,FALSE,none,none,year_month
dai,Y_year_only_Dc_Rv,year + depth_cat + offset + (1|vessel),completed,1016,8668.572126753626,8712.884784406871,-4325.286063376813,TRUE,TRUE,,188.77797012656083,TRUE,cat,vessel,year_only
dai,Y_year_only_D2_Rv,year + depth_quad + offset + (1|vessel),completed,1016,8669.634104548792,8713.946762202037,-4325.817052274396,TRUE,TRUE,,189.83994792172598,TRUE,quad,vessel,year_only
dai,Y_year_only_D0_Rv,year + offset + (1|vessel),completed,1016,8670.545907966674,8705.011308363642,-4328.272953983337,TRUE,TRUE,,190.75175133960875,FALSE,none,vessel,year_only
dai,Y_year_only_D2_R0,year + depth_quad + offset,completed,1016,8714.076312941312,8753.46534196642,-4349.038156470656,TRUE,TRUE,,234.2821563142461,TRUE,quad,none,year_only
dai,Y_year_only_Dc_R0,year + depth_cat + offset,completed,1016,8719.29364088235,8758.682669907457,-4351.646820441175,TRUE,TRUE,,239.4994842552842,TRUE,cat,none,year_only
dai,Y_year_only_D0_R0,year + offset,completed,1016,8719.515816383104,8749.057588151934,-4353.757908191552,TRUE,TRUE,,239.7216597560382,FALSE,none,none,year_only
toku,YM_year_month_D2_Rav,year + month + depth_quad + offset + (1|area) + (1|vessel),completed,1016,8090.789196985677,8194.185398176583,-4024.3945984928387,TRUE,TRUE,,0,TRUE,quad,area_vessel,year_month
toku,YM_year_month_D0_Rav,year + month + offset + (1|area) + (1|vessel),completed,1016,8096.727643757474,8190.276587692104,-4029.363821878737,TRUE,TRUE,,5.938446771796407,FALSE,none,area_vessel,year_month
toku,YM_year_month_Dc_Rav,year + month + depth_cat + offset + (1|area) + (1|vessel),completed,1016,8096.941003963214,8200.337205154121,-4027.470501981607,TRUE,TRUE,,6.15180697753658,TRUE,cat,area_vessel,year_month
toku,Y_year_only_D2_Rav,year + depth_quad + offset + (1|area) + (1|vessel),completed,1016,8106.95155228498,8156.187838566364,-4043.47577614249,TRUE,TRUE,,16.162355299302362,TRUE,quad,area_vessel,year_only
toku,YM_year_month_D2_Ra,year + month + depth_quad + offset + (1|area),completed,1016,8114.106988124252,8212.57956068702,-4037.053494062126,TRUE,TRUE,,23.31779113857465,TRUE,quad,area,year_month
toku,Y_year_only_Dc_Rav,year + depth_cat + offset + (1|area) + (1|vessel),completed,1016,8119.5465233911855,8168.78280967257,-4049.7732616955927,TRUE,TRUE,,28.757326405508138,TRUE,cat,area_vessel,year_only
toku,Y_year_only_D0_Rav,year + offset + (1|area) + (1|vessel),completed,1016,8121.198192040276,8160.587221065383,-4052.599096020138,TRUE,TRUE,,30.408995054598563,FALSE,none,area_vessel,year_only
toku,YM_year_month_D0_Ra,year + month + offset + (1|area),completed,1016,8124.077539514217,8212.702854820709,-4044.0387697571086,TRUE,TRUE,,33.28834252853994,FALSE,none,area,year_month
toku,YM_year_month_Dc_Ra,year + month + depth_cat + offset + (1|area),completed,1016,8124.8805022125325,8223.353074775301,-4042.4402511062663,TRUE,TRUE,,34.091305226855184,TRUE,cat,area,year_month
toku,YM_year_month_D2_Rv,year + month + depth_quad + offset + (1|vessel),completed,1016,8131.737310019315,8230.209882582083,-4045.8686550096577,TRUE,TRUE,,40.94811303363804,TRUE,quad,vessel,year_month
toku,Y_year_only_D2_Ra,year + depth_quad + offset + (1|area),completed,1016,8132.9169424954625,8177.229600148708,-4057.4584712477313,TRUE,TRUE,,42.1277455097852,TRUE,quad,area,year_only
toku,YM_year_month_Dc_Rv,year + month + depth_cat + offset + (1|vessel),completed,1016,8138.666783400557,8237.139355963325,-4049.3333917002783,TRUE,TRUE,,47.87758641487926,TRUE,cat,vessel,year_month
toku,YM_year_month_D0_Rv,year + month + offset + (1|vessel),completed,1016,8139.458886495051,8228.084201801543,-4051.7294432475255,TRUE,TRUE,,48.66968950937371,FALSE,none,vessel,year_month
toku,YM_year_month_D2_R0,year + month + depth_quad + offset,completed,1016,8150.072796030179,8243.621739964809,-4056.0363980150896,TRUE,TRUE,,59.2835990445019,TRUE,quad,none,year_month
toku,Y_year_only_Dc_Ra,year + depth_cat + offset + (1|area),completed,1016,8154.518787256569,8198.831444909814,-4068.2593936282847,TRUE,TRUE,,63.729590270892004,TRUE,cat,area,year_only
toku,Y_year_only_D0_Ra,year + offset + (1|area),completed,1016,8155.073731469212,8189.539131866181,-4070.536865734606,TRUE,TRUE,,64.28453448353503,FALSE,none,area,year_only
toku,YM_year_month_Dc_R0,year + month + depth_cat + offset,completed,1016,8160.064034212996,8253.612978147627,-4061.032017106498,TRUE,TRUE,,69.27483722731904,TRUE,cat,none,year_month
toku,YM_year_month_D0_R0,year + month + offset,completed,1016,8160.516065384908,8244.217752063261,-4063.258032692454,TRUE,TRUE,,69.72686839923063,FALSE,none,none,year_month
toku,Y_year_only_D2_Rv,year + depth_quad + offset + (1|vessel),completed,1016,8161.150403946618,8205.463061599863,-4071.575201973309,TRUE,TRUE,,70.36120696094076,TRUE,quad,vessel,year_only
toku,Y_year_only_Dc_Rv,year + depth_cat + offset + (1|vessel),completed,1016,8173.498588531982,8217.811246185227,-4077.749294265991,TRUE,TRUE,,82.70939154630469,TRUE,cat,vessel,year_only
toku,Y_year_only_D0_Rv,year + offset + (1|vessel),completed,1016,8176.713329206404,8211.178729603373,-4081.356664603202,TRUE,TRUE,,85.92413222072628,FALSE,none,vessel,year_only
toku,Y_year_only_D2_R0,year + depth_quad + offset,completed,1016,8181.442313242692,8220.831342267798,-4082.721156621346,TRUE,TRUE,,90.65311625701452,TRUE,quad,none,year_only
toku,Y_year_only_Dc_R0,year + depth_cat + offset,completed,1016,8199.99016424597,8239.379193271076,-4091.9950821229845,TRUE,TRUE,,109.2009672602926,TRUE,cat,none,year_only
toku,Y_year_only_D0_R0,year + offset,completed,1016,8202.303250022034,8231.845021790865,-4095.151625011017,TRUE,TRUE,,111.51405303635693,FALSE,none,none,year_only
tokudai,YM_year_month_D0_Rav,year + month + offset + (1|area) + (1|vessel),completed,1016,7508.169400671772,7601.718344606402,-3735.084700335886,TRUE,TRUE,,0,FALSE,none,area_vessel,year_month
tokudai,YM_year_month_D2_Rav,year + month + depth_quad + offset + (1|area) + (1|vessel),completed,1016,7511.05058574647,7614.446786937377,-3734.525292873235,TRUE,TRUE,,2.881185074697896,TRUE,quad,area_vessel,year_month
tokudai,YM_year_month_Dc_Rav,year + month + depth_cat + offset + (1|area) + (1|vessel),completed,1016,7511.367509647162,7614.763710838069,-3734.683754823581,TRUE,TRUE,,3.198108975389914,TRUE,cat,area_vessel,year_month
tokudai,YM_year_month_D0_Rv,year + month + offset + (1|vessel),completed,1016,7537.005383323353,7625.630698629845,-3750.5026916616766,TRUE,TRUE,,28.835982651581617,FALSE,none,vessel,year_month
tokudai,YM_year_month_D2_Rv,year + month + depth_quad + offset + (1|vessel),completed,1016,7538.482214212568,7636.954786775336,-3749.241107106284,TRUE,TRUE,,30.312813540796014,TRUE,quad,vessel,year_month
tokudai,YM_year_month_Dc_Rv,year + month + depth_cat + offset + (1|vessel),completed,1016,7540.032436015249,7638.505008578018,-3750.0162180076245,TRUE,TRUE,,31.86303534347735,TRUE,cat,vessel,year_month
